Standard Anchor,Standard LIME,Standard SHAP,Hybrid Anchor,Hybrid LIME,Hybrid SHAP,Formal Logic
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6423841059602613,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9885057471264354,0.0,0.0,0.0,0.0,0.0,0.0
1.7985611510791366,0.0,0.0,0.0,0.0,0.0,0.0
1.0791366906474864,0.0,0.0,0.0,0.0,0.0,0.0
1.3100436681222738,0.0,0.0,0.0,0.0,0.0,0.0
2.508960573476704,0.0,0.0,0.0,0.0,0.0,0.0
1.904761904761909,0.0,0.0,0.0,0.0,0.0,0.0
0.8064516129032251,0.0,0.0,0.0,0.0,0.0,0.0
1.7621145374449365,0.0,0.0,0.0,0.0,0.0,0.0
3.1963470319634757,0.0,0.0,0.0,0.0,0.0,0.0
3.4482758620689613,0.0,0.0,0.0,0.0,0.0,0.0
4.987531172069826,0.0,0.0,0.0,0.0,0.0,0.0
1.2295081967213073,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
